name
Thompson Road and McCuaig Drive 
Thompson Road and Laurier Avenue
Thompson Road and Main Street 
Ontario Street South and Childs Drive
Ontario Street South and Pine Street
Main Street East and Ontario Street North
Bronte Street North and Main Street West
Martin Street and Main Street East Main Street and Sherwood
Laurier Avenue and Ontario Street South
Thompson Road and Drew Centre
Louis St Laurent Avenue and Farmstead Drive
Main Street E and Harris / Pearson
Main Street East and Maple / Sinclair
Fifth Line and Yukon Court
Thompson Road North and Maple Avenue
Thompson Road North and Woodward Avenue
Steeles Avenue East and Martin Street
Main Street West and Scott Boulevard
