name
Curtis Rd / La Cholla Bl
Aerospace Pw / Raytheon Pw
La Cholla Bl / Overton Rd
Overton Rd / Shannon Rd
Sabino Canyon Rd / Sunrise Dr
Nogales Hy / Old Nogales Hy
Valencia Rd / Wade Rd
La Cholla Bl / Omar Dr
Alvernon Wy / Dodge Bl
Campo Abierto / Sunrise Dr
La Canada Dr / Orange Grove Rd
Craycroft Rd / Sunrise Dr
Drexel Rd / Palo Verde Rd
Ajo Wy / Palo Verde Rd
Colossal Cave Rd / Mary Ann Cleveland Wy
Orange Grove Rd / Shannon Rd
Club Dr / Shannon Rd
Camino de Oeste / Valencia Rd
Kolb Rd / Sunrise Dr
Campbell Av / Skyline Dr
La Cholla Bl / Rudasill Rd
Benson Hy / Swan Rd / Valencia Rd
Cortaro Farms Rd / Magee Rd / Shannon Rd
River Rd / Via Entrada
Cardinal Av / Valencia Rd
Sabino Canyon Rd / Snyder Rd
Ina Rd / Pima Canyon Dr / Skyline Dr
Orange Grove Rd / Skyline Dr
Campus Park Wy / Shannon Rd
Ajo Wy / Dodge Bl
Abrego Dr / Esperanza Bl
Bopp Road and Kinney Road and Sarasota Boulevard
Hospital Dr / La Cholla Bl
Cortaro Farms Rd / Thornydale Rd
Suncrest Pl / Sunrise Dr
Hermans Rd / Nogales Hy
Overton Rd / Thornydale Rd
Linda Vista Bl / Thornydale Rd
Craycroft Rd / River Rd
37th St / Golf Links Rd / Palo Verde Rd
Cardinal Av / Drexel Rd
Aerospace Pw / Nogales Hy
Camino Casa Verde / La Canada Dr / Paseo del Chino
Pontatoc Rd / River Rd
Ajo Wy / Alvernon Wy
Mark Rd / Valencia Rd
Esperanza Bl / La Canada Dr
La Canada Dr / River Rd
Magee Rd / Thornydale Rd
Cortaro Farms Rd / Oldfather Dr
Hardy Rd / Thornydale Rd
36th St / Palo Verde Rd
Camino Del Sol and Camino Encanto
Foothills Mall Dr / La Cholla Bl
Kolb Rd / Mountain Shadows Pl / Ventana Canyon Dr
Pontatoc Rd / Sunrise DrBenson Hy / Palo Verde Rd
Tanque Verde Loop Road and Tanque Verde Road
La Cholla Bl / Orange Grove Rd
Ina Rd / Shannon Rd
Romero Rd / Ruthrauff Rd
Houghton Rd / Sahuarita Rd
Abrego Dr / Continental Rd
La Cholla Bl / River Rd
Mission Rd / Valencia Rd
Camino De La Tierra / Orange Grove Rd
Alvernon Wy / Brandi Fenton Dw / River Rd
La Cholla Bl / Magee Rd
Aero Park Bl / Nogales Hy / Vamori St
Casino del Sol Dr / Valencia Rd
Camino Verde / Valencia Rd
Calle del Marques / Sunrise Dr
Calle Bosque / Territory Dr / Craycroft Rd
Flowing Wells Rd / Wetmore Rd
1st Av / Orange Grove Rd
La Cholla Bl / Ruthrauff Rd
Ina Rd / La Canada Dr
Broadmont Dr / Palo Verde Rd
Drexel Rd / Mission Rd
Camino de la Tierra / Ina Rd
Maryvale Av / Ruthrauff Rd
Camino de la Tierra / Valencia Rd
Magee Rd / Shannon Rd / Tuscany Dr
La Canada Dr / Magee Rd
Romero Rd / Wetmore Rd
Silverbell Rd / Sunset Rd
Kolb Rd / Sabino Canyon Rd
Desert Bell Dr / La Canada Dr / La Canoa
River Rd / Swan Rd
Kinney Rd / Western Wy
Knollwood Dr / River Rd / Sabino Canyon Rd
1st Av / Christie Dr / Ina Rd
Alvernon Wy / Irvington Rd
Ina Rd / La Cholla Bl
Ina Rd / Mona Lisa Rd
Sunrise Dr / Swan Rd
Hardy Rd / La Canada Dr / Overton Rd
Continental Rd / La Canada Dr
Cloud Rd / Sabino Canyon Rd
Continental Rd / Continental Plaza / I19 Frontage Rd
Sunrise Dr / Via Palomita
Sahuarita Rd. / Wilmot Rd.
Kolb Rd / Snyder Rd
